Date,Climb,Hold #,Start?,Strength,s1,s2,s3,Up Strength,Right Strength,Down Strength,Left Strength
10/2/25,WW-R-V1,9,FALSE,9.67,10,10,9,9.67,9,2,2
10/2/25,WW-R-V1,10,FALSE,7.67,8,8,7,7.67,7,2,2
10/2/25,WW-R-V1,11,FALSE,4.67,5,6,3,4.67,4,4,4
10/2/25,WW-R-V1,12,FALSE,7.33,8,8,6,7.33,2,2,7
10/2/25,WW-R-V1,13,FALSE,7.33,8,8,6,7.33,2,2,2
10/2/25,WW-R-V1,14,FALSE,7.33,8,8,6,7.33,2,2,2
10/2/25,WW-R-V1,15,FALSE,8.67,8,9,9,8.67,2,1,2
10/2/25,WW-YL-V0,1,FALSE,6.00,6,5,7,6.00,3,6,3
10/2/25,WW-YL-V0,2,FALSE,5.67,6,4,7,5.67,2,5,2
10/2/25,WW-YL-V0,3,FALSE,4.67,5,3,6,4.67,2,4.5,2
10/2/25,WW-YL-V0,4,FALSE,3.67,4,1,6,3.67,3,3,3
10/2/25,WW-YL-V0,5,FALSE,5.67,6,4,7,5.67,2,5,2
10/2/25,WW-YL-V0,6,TRUE,7.33,8,7,7,7.33,2,1,2
10/2/25,WW-YL-V0,7,FALSE,4.33,4,3,6,4.33,2,4,2
10/2/25,WW-YL-V0,8,FALSE,2.67,3,1,4,2.67,2,2,2
10/2/25,WW-YL-V0,9,FALSE,7.33,8,6,8,7.33,2,2,7
10/2/25,WW-YL-V0,10,FALSE,4.00,4,3,5,4.00,2,4,2
10/2/25,WW-YL-V0,11,FALSE,6.67,8,5,7,6.67,2,2,6
10/2/25,WW-YL-V0,13,FALSE,3.00,3,1,5,3.00,3,3,3
10/2/25,WW-YL-V0,12,FALSE,6.67,8,5,7,6.67,2,2,6
10/2/25,WW-YL-V0,14,FALSE,7.33,8,6,8,7.33,7,4,3
10/2/25,WW-YL-V0,15,FALSE,7.67,8,7,8,7.67,4,3,7
10/2/25,WW-YL-V0,16,FALSE,7.67,9,6,8,7.67,4,4,7
10/2/25,WW-YL-V0,17,FALSE,7.33,8,5,9,7.33,6,1,3
10/2/25,WW-YL-V0,18,FALSE,7.67,8,7,8,7.67,2,1,2
