,Date,Climb,Hold #,Start?,Up Strength,Right Strength,Down Strength,Left Strength,x,y,size_x,size_y
19,10/2/25,FR-GR-V0,5,False,6.67,3,3.0,3,0.8885542168674698,0.851123595505618,0.05301204819277108,0.04943820224719101
20,10/2/25,FR-GR-V0,6,False,6.67,3,3.0,3,0.7319277108433735,0.9904494382022472,0.051807228915662654,0.04269662921348315
21,10/2/25,FR-GR-V0,7,True,9.0,3,2.0,3,0.4355421686746988,1.1320224719101124,0.0891566265060241,0.07640449438202247
22,10/2/25,FR-GR-V0,8,False,4.67,4,4.0,4,0.2740963855421687,1.2792134831460675,0.0819277108433735,0.11235955056179775
23,10/2/25,FR-GR-V0,9,False,5.33,3,3.0,5,0.7524096385542168,1.2612359550561798,0.11927710843373494,0.17415730337078653
24,10/2/25,FR-GR-V0,10,False,9.0,5,2.0,5,0.4246987951807229,1.4129213483146068,0.06385542168674699,0.06629213483146068
25,10/2/25,FR-GR-V0,11,False,9.0,4,2.0,4,0.5018072289156627,1.4983146067415731,0.05903614457831325,0.05730337078651685
26,10/2/25,FR-GR-V0,12,False,8.67,4,2.0,8,0.4186746987951807,1.554494382022472,0.06265060240963856,0.05730337078651685
27,10/2/25,FR-GR-V0,13,False,4.33,4,2.0,4,0.7271084337349397,1.563483146067416,0.09036144578313253,0.10449438202247191
28,10/2/25,FR-GR-V0,14,False,6.33,4,3.0,4,0.2716867469879518,1.6915730337078652,0.10843373493975904,0.09550561797752809
29,10/2/25,FR-GR-V0,15,False,8.67,4,2.0,4,0.7150602409638553,1.8387640449438203,0.056626506024096385,0.06629213483146068
30,10/2/25,FR-GR-V0,16,False,8.33,4,4.0,8,0.6174698795180722,1.908426966292135,0.06987951807228916,0.06629213483146068
31,10/2/25,FR-GR-V0,17,False,5.67,4,4.0,4,0.21626506024096387,1.8971910112359551,0.2036144578313253,0.11235955056179775
32,10/2/25,FR-GR-V0,18,False,8.67,4,2.0,4,0.7162650602409638,1.9893258426966292,0.05903614457831325,0.06292134831460675
33,10/2/25,FR-GR-V0,19,False,6.33,5,2.0,2,0.2753012048192771,2.094943820224719,0.07108433734939759,0.06853932584269663
34,10/2/25,FR-GR-V0,20,False,8.67,5,2.0,5,0.4259036144578313,2.245505617977528,0.06987951807228916,0.06292134831460675
35,10/2/25,FR-GR-V0,21,False,9.33,6,5.0,6,0.5138554216867469,2.345505617977528,0.09518072289156626,0.08426966292134831
36,10/2/25,FR-GR-V0,22,False,3.67,3,3.0,3,0.8451807228915662,2.2612359550561796,0.14096385542168674,0.18876404494382024
37,10/2/25,FR-GR-V0,23,False,8.33,4,2.0,4,0.2825301204819277,2.5207865168539323,0.10120481927710843,0.07303370786516854
38,10/2/25,FR-GR-V0,24,False,8.33,4,2.0,4,0.4295180722891566,2.6646067415730337,0.10722891566265061,0.08089887640449438
39,10/2/25,FR-GR-V0,25,False,8.67,4,2.0,8,0.2728915662650602,2.9084269662921347,0.07228915662650602,0.0696629213483146
40,10/2/25,FR-GR-V0,26,False,8.67,4,2.0,5,0.33674698795180724,3.0095505617977527,0.0783132530120482,0.06404494382022471
41,10/2/25,FR-GR-V0,27,False,8.67,4,2.0,5,0.22108433734939759,3.05,0.08072289156626505,0.06629213483146068
42,10/2/25,FR-GR-V0,28,False,9.0,5,4.0,5,0.5620481927710843,3.3499999999999996,0.12771084337349398,0.07977528089887641
43,10/2/25,IR-WH-V1,1,False,3.33,2,3.0,2,1.1481481481481484,0.21465968586387432,0.04126984126984127,0.033507853403141365
44,10/2/25,IR-WH-V1,2,False,3.33,2,3.0,2,0.8074074074074075,0.3256544502617801,0.042328042328042326,0.02931937172774869
45,10/2/25,IR-WH-V1,3,False,3.33,2,3.0,2,1.2285714285714286,0.7832460732984293,0.042328042328042326,0.03455497382198953
46,10/2/25,IR-WH-V1,4,False,3.33,2,3.0,2,0.6571428571428571,0.8774869109947644,0.037037037037037035,0.03455497382198953
47,10/2/25,IR-WH-V1,5,False,3.33,2,3.0,2,0.9873015873015872,1.0115183246073298,0.04338624338624339,0.040837696335078534
48,10/2/25,IR-WH-V1,6,True,8.0,2,2.0,2,0.8328042328042328,1.3392670157068063,0.11322751322751323,0.10157068062827225
49,10/2/25,IR-WH-V1,7,False,3.33,2,3.0,2,0.39576719576719577,1.5267015706806284,0.0380952380952381,0.033507853403141365
50,10/2/25,IR-WH-V1,8,False,7.0,2,2.0,2,1.035978835978836,1.7884816753926702,0.07513227513227513,0.05759162303664921
51,10/2/25,IR-WH-V1,9,False,3.33,2,3.0,2,0.30899470899470904,1.8523560209424084,0.04021164021164021,0.033507853403141365
52,10/2/25,IR-WH-V1,10,False,9.0,2,2.0,2,1.1619047619047618,1.9277486910994766,0.09417989417989418,0.08272251308900523
53,10/2/25,IR-WH-V1,11,False,3.33,2,2.0,2,0.8031746031746031,2.0041884816753925,0.04021164021164021,0.033507853403141365
54,10/2/25,IR-WH-V1,12,False,3.33,2,2.0,2,0.07407407407407407,2.0586387434554974,0.037037037037037035,0.03455497382198953
55,10/2/25,IR-WH-V1,13,False,8.0,2,2.0,8,0.5947089947089947,2.231413612565445,0.06666666666666667,0.06596858638743455
56,10/2/25,IR-WH-V1,14,False,8.67,8,2.0,2,0.39576719576719577,2.4272251308900525,0.1746031746031746,0.1612565445026178
57,10/2/25,IR-WH-V1,15,False,7.0,7,2.0,2,0.3481481481481481,2.8471204188481676,0.11428571428571428,0.1099476439790576
58,10/2/25,IR-WH-V1,16,False,7.67,2,2.0,2,0.13650793650793652,3.0471204188481678,0.09735449735449736,0.10052356020942409
59,10/2/25,IR-WH-V1,17,False,8.33,2,2.0,2,0.0941798941798942,3.505759162303665,0.11322751322751323,0.1068062827225131
60,10/2/25,WW-R-V1,1,False,4.33,2,4.0,2,,,,
61,10/2/25,WW-R-V1,2,False,4.33,4,4.0,4,,,,
62,10/2/25,WW-R-V1,3,False,4.33,4,4.0,4,,,,
63,10/2/25,WW-R-V1,4,True,9.33,3,9.0,3,,,,
64,10/2/25,WW-R-V1,5,False,8.0,3,2.0,3,,,,
65,10/2/25,WW-R-V1,6,False,3.67,3,3.0,3,,,,
66,10/2/25,WW-R-V1,7,False,7.33,2,4.0,2,,,,
67,10/2/25,WW-R-V1,8,False,7.33,3,2.0,3,,,,
68,10/2/25,WW-R-V1,9,False,9.67,9,2.0,2,,,,
69,10/2/25,WW-R-V1,10,False,7.67,7,2.0,2,,,,
70,10/2/25,WW-R-V1,11,False,4.67,4,4.0,4,,,,
71,10/2/25,WW-R-V1,12,False,7.33,2,2.0,7,,,,
72,10/2/25,WW-R-V1,13,False,7.33,2,2.0,2,,,,
73,10/2/25,WW-R-V1,14,False,7.33,2,2.0,2,,,,
74,10/2/25,WW-R-V1,15,False,8.67,2,1.0,2,,,,
75,10/2/25,WW-YL-V0,1,False,6.0,3,6.0,3,,,,
76,10/2/25,WW-YL-V0,2,False,5.67,2,5.0,2,,,,
77,10/2/25,WW-YL-V0,3,False,4.67,2,4.5,2,,,,
78,10/2/25,WW-YL-V0,4,False,3.67,3,3.0,3,,,,
79,10/2/25,WW-YL-V0,5,False,5.67,2,5.0,2,,,,
80,10/2/25,WW-YL-V0,6,True,7.33,2,1.0,2,,,,
81,10/2/25,WW-YL-V0,7,False,4.33,2,4.0,2,,,,
82,10/2/25,WW-YL-V0,8,False,2.67,2,2.0,2,,,,
83,10/2/25,WW-YL-V0,9,False,7.33,2,2.0,7,,,,
84,10/2/25,WW-YL-V0,10,False,4.0,2,4.0,2,,,,
85,10/2/25,WW-YL-V0,11,False,6.67,2,2.0,6,,,,
86,10/2/25,WW-YL-V0,13,False,3.0,3,3.0,3,,,,
87,10/2/25,WW-YL-V0,12,False,6.67,2,2.0,6,,,,
88,10/2/25,WW-YL-V0,14,False,7.33,7,4.0,3,,,,
89,10/2/25,WW-YL-V0,15,False,7.67,4,3.0,7,,,,
90,10/2/25,WW-YL-V0,16,False,7.67,4,4.0,7,,,,
91,10/2/25,WW-YL-V0,17,False,7.33,6,1.0,3,,,,
92,10/2/25,WW-YL-V0,18,False,7.67,2,1.0,2,,,,
